"","V1","V2"
"SS2_15_0169:F22_unique.bam",1.61819136142731,-0.878140389919281
"SS2_15_0169:F24_unique.bam",5.17869472503662,0.592660427093506
"SS2_15_0169:G4_unique.bam",0.467065691947937,-0.725139200687408
"SS2_15_0169:G8_unique.bam",-3.23681926727295,-6.24262380599976
"SS2_15_0169:G12_unique.bam",-1.13299310207367,-2.39898824691772
"SS2_15_0169:G21_unique.bam",-2.41792869567871,-5.51387453079224
"SS2_15_0169:H1_unique.bam",-3.20208358764648,-5.54231262207031
"SS2_15_0169:H9_unique.bam",2.16453719139099,-1.20862281322479
"SS2_15_0169:H22_unique.bam",-3.58625769615173,-5.906174659729
"SS2_15_0169:H23_unique.bam",-2.57125377655029,-4.36520004272461
"SS2_15_0169:I6_unique.bam",-0.932458758354187,-1.94307422637939
"SS2_15_0169:I13_unique.bam",-1.39078509807587,-3.38314342498779
"SS2_15_0169:J5_unique.bam",-3.77905082702637,-4.87225151062012
"SS2_15_0169:J8_unique.bam",-3.05216431617737,-6.5084080696106
"SS2_15_0169:J12_unique.bam",-2.62785005569458,-6.19473695755005
"SS2_15_0169:J22_unique.bam",2.96717405319214,-2.02454471588135
"SS2_15_0169:K4_unique.bam",-4.94014883041382,-4.75642585754395
"SS2_15_0169:K10_unique.bam",-4.10751008987427,-5.55281734466553
"SS2_15_0169:L4_unique.bam",-3.23504877090454,-6.24675369262695
"SS2_15_0169:L10_unique.bam",3.22191953659058,-1.9518129825592
"SS2_15_0169:L14_unique.bam",-3.28579998016357,-4.46654367446899
"SS2_15_0169:L15_unique.bam",-2.15652799606323,-6.57683086395264
"SS2_15_0169:L18_unique.bam",-2.92924189567566,-4.59810781478882
"SS2_15_0169:M8_unique.bam",2.16132640838623,-1.34421467781067
"SS2_15_0169:M7_unique.bam",-0.552067399024963,-0.68316650390625
"SS2_15_0169:M12_unique.bam",1.01653563976288,-0.697222888469696
"SS2_15_0169:M15_unique.bam",2.0456759929657,-1.39179146289825
